Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/02/2019,40.71932602,85.23543549,20.50066757,98.84210968,13.96397893,8.052945967,26.337103,41.4339509,86.16788249,20.97999954,99.14256989,14.04806949,8.245157764,26.52740244,40.57639959,84.45285227,20.20000076,97.92195343,13.88879272,8.026111067,26.13605764,41.06710809,85.95974751,20.88666725,98.767,14.01542289,8.17682242,26.23405205,126966800,13177500,97809000,29760700,3608654,20150710,1339945
8/02/2019,40.76717377,84.3862381,20.38666725,99.21768188,13.99186582,7.969290569,26.05086306,40.82698125,85.20212358,20.49666786,99.32096575,14.13886099,8.111499195,26.40597697,40.29110489,83.30393377,19.89999962,97.89378163,13.88639866,7.935297463,25.91943468,40.4274677,84.9856678,20.45533371,98.01584112,13.92166488,8.01357437,26.22273377,95280000,12892600,87663000,21461100,6117822,14230054,1684474
11/02/2019,40.53271866,83.98662567,20.8560009,98.82331085,14.18916459,7.864031003,26.26551257,40.95855122,84.92739986,21.23999977,100.0721012,14.21071708,8.006785746,26.64820028,40.48965903,83.89504577,20.70000076,98.56040913,14.01442459,7.849912439,26.04937736,40.92027356,84.71926487,20.7733326,99.71529987,14.01442459,8.006158273,26.19050218,83973600,10978500,106945500,18914100,3518182,16457901,1778730
12/02/2019,40.88199997,85.4185791,20.78733253,100.3631821,14.10731643,7.874941773,26.0544083,40.90831541,85.68499157,21.21266747,100.5979168,14.22853754,7.974914253,26.28807887,40.59731579,84.82747663,20.64133263,99.0392819,14.07485906,7.844229287,25.62770201,40.69300994,84.87742698,21.07999992,99.65897787,14.16229667,7.844229287,26.28807887,89134000,12852300,82764000,25056600,4886194,13998153,2422903
13/02/2019,40.71214294,85.82654572,20.54466629,100.2880859,14.19099324,7.921651578,26.20894866,41.26237245,86.4592779,20.85000038,101.198858,14.31293336,8.02221704,26.44400524,40.64994448,85.66836743,20.37133217,100.1941935,14.15834335,7.890756923,25.77971139,41.00161273,85.66836743,20.82333374,100.9359562,14.24629959,7.890756923,26.44400524,89960800,10754100,77124000,18394900,4886194,13998153,2422903
14/02/2019,40.860466,85.26873779,20.25133324,100.3725891,14.05012473,7.712629153,26.09922237,40.97050971,85.8348652,20.45133209,100.7387748,14.24853929,7.818471826,26.48727725,40.52076,84.37792033,20.06666756,99.20830666,14.019498,7.673568567,25.95178809,40.5997063,85.31036733,20.22533226,99.81861133,14.24853929,7.818471826,26.29644182,87342800,11518500,78012000,21784700,3720694,14496604,1724085
15/02/2019,40.76956558,87.87458801,20.5253334,101.6119919,13.95799718,7.82420741,25.85615202,41.07577961,87.99946391,20.53333282,101.6871087,14.00750082,7.858473377,26.14023019,40.60928196,86.30108813,20.26000023,100.8045037,13.80882603,7.632759686,25.61729758,40.96812687,86.50089592,20.29999924,101.320923,14.00251736,7.731784486,26.10201348,98507200,14716900,58573500,26606900,4208262,20994460,1930065
18/02/2019,40.76956558,87.87458801,20.5253334,101.6119919,13.82620877,7.63777021,24.99036559,41.07577961,87.99946391,20.53333282,101.6871087,14.01211136,7.840592786,25.89913949,40.60928196,86.30108813,20.26000023,100.8045037,13.80040808,7.605844519,24.89333625,40.96812687,86.50089592,20.29999924,101.320923,13.93801554,7.824942512,25.84396643,98507200,14716900,58573500,26606900,3569372,21106139,2942184
19/02/2019,40.89156723,87.56656647,20.37599945,101.565033,13.71443675,7.572383591,24.03155782,41.01357682,87.72475112,20.76933289,102.0251182,13.87302983,7.719335492,24.86675727,40.54707922,86.42598426,20.36466789,101.1988473,13.67593921,7.541872423,23.87006837,40.5997101,87.34178344,20.43733215,101.2082387,13.75161687,7.58421413,24.85414095,75891200,12764900,62526000,18038500,2634318,13658461,4408554
20/02/2019,41.15472794,87.99115753,20.17066765,101.0369873,13.8937253,7.696756708,24.19081926,41.46333661,88.08273744,20.42000008,101.7819179,13.91118778,7.731987378,24.43149626,40.90593039,87.31679579,19.93333244,100.2260506,13.7194223,7.601042004,23.76821489,40.95377565,87.59153552,20.29400063,101.7064802,13.762916,7.631284437,24.19397774,104457600,10030300,107131500,21607700,2446250,13776558,4645778
21/02/2019,40.92267227,87.80799103,19.41533279,103.1680298,14.00214393,7.80772557,24.28562569,41.2360629,88.24090901,20.2159996,103.2340359,14.02894547,7.875978767,24.61295321,40.74085883,87.38339387,19.36666679,100.772939,13.85457312,7.697832772,24.06804334,41.09970374,87.79133667,20.1206665,100.8012263,13.90817457,7.739473208,24.2926042,68998800,8400100,133638000,29063200,2630772,23142949,4683919
